2025-09-13 15:56:53,777 - root - INFO - Logging initialized
2025-09-13 15:56:53,778 - root - INFO - Starting Course Scheduler application
2025-09-13 15:56:55,928 - course_scheduler.app.gui.main_window - INFO - Main window initialized
2025-09-13 15:56:55,928 - root - INFO - Main window initialized successfully
2025-09-13 15:57:07,451 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2107.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,452 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2107-PS.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,453 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2107-PS.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,453 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course OHES4411.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,454 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course OHES4412.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,454 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT2101.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,455 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT3111.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,455 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT3111-L.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,456 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT3215.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,457 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT3215-L.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,457 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT3215-L.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,458 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT3910.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,459 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT3920.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,459 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT4221.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,460 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT4314.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,461 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT4902.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,462 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT4910.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,462 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT4912.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,463 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course SOFT4920.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:08,259 - course_scheduler.app.gui.course_preview - INFO - Course preview updated with 66 courses
2025-09-13 15:57:08,267 - course_scheduler.app.gui.file_settings - INFO - Successfully loaded courses from C:/Users/PC/Downloads/lisans-haftalik-ders-programi(1).xlsx, sheet: Sheet1
