2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,353 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,354 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,354 - course_scheduler.app.scheduler.dfs - INFO - DFS search completed in 0.01s
2025-09-13 17:09:16,354 - course_scheduler.app.scheduler.dfs - INFO - Explored 101 nodes, pruned 0 branches
2025-09-13 17:09:16,354 - course_scheduler.app.scheduler.dfs - INFO - Found 5 valid schedules
2025-09-13 17:09:16,354 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,354 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,354 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,354 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,354 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,354 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,354 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,354 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,354 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,355 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
